x [m], y [m], z [m], zrotation [deg], SAR [w/kg]
-0.8,0,-2,180,0.00003
-0.8,0,-1,180,0.00021
-0.8,0,0,180,0.00046
-0.8,0,1,180,0.00025
-0.8,0,2,180,0.00003
-0.8,0.3,-2,159.44395,0.00004
-0.8,0.3,-1,159.44395,0.0002
-0.8,0.3,0,159.44395,0.00036
-0.8,0.3,1,159.44395,0.00022
-0.8,0.3,2,159.44395,0.00004
-0.8,0.8,-2,135,0.00009
-0.8,0.8,-1,135,0.00046
-0.8,0.8,0,135,0.001
-0.8,0.8,1,135,0.00048
-0.8,0.8,2,135,0.0001
-0.8,1.6,-2,116.56505,0.00011
-0.8,1.6,-1,116.56505,0.00079
-0.8,1.6,0,116.56505,0.00204
-0.8,1.6,1,116.56505,0.00086
-0.8,1.6,2,116.56505,0.00012
-0.8,2.6,-2,107.10273,0.0001
-0.8,2.6,-1,107.10273,0.00082
-0.8,2.6,0,107.10273,0.00219
-0.8,2.6,1,107.10273,0.00088
-0.8,2.6,2,107.10273,0.0001
-0.8,4,-2,101.30993,0.00007
-0.8,4,-1,101.30993,0.00072
-0.8,4,0,101.30993,0.00196
-0.8,4,1,101.30993,0.00078
-0.8,4,2,101.30993,0.00008
-0.8,6,-2,97.59464,0.00007
-0.8,6,-1,97.59464,0.00059
-0.8,6,0,97.59464,0.00154
-0.8,6,1,97.59464,0.00064
-0.8,6,2,97.59464,0.00008
-0.3,0,-2,180,0.00008
-0.3,0,-1,180,0.00041
-0.3,0,0,180,0.00059
-0.3,0,1,180,0.00051
-0.3,0,2,180,0.00011
-0.3,0.3,-2,135,0.00017
-0.3,0.3,-1,135,0.00119
-0.3,0.3,0,135,0.00257
-0.3,0.3,1,135,0.00119
-0.3,0.3,2,135,0.00021
-0.3,0.8,-2,110.55605,0.00023
-0.3,0.8,-1,110.55605,0.00207
-0.3,0.8,0,110.55605,0.00536
-0.3,0.8,1,110.55605,0.00209
-0.3,0.8,2,110.55605,0.00024
-0.3,1.6,-2,100.61966,0.00019
-0.3,1.6,-1,100.61966,0.00189
-0.3,1.6,0,100.61966,0.00505
-0.3,1.6,1,100.61966,0.00202
-0.3,1.6,2,100.61966,0.0002
-0.3,2.6,-2,96.58194,0.00014
-0.3,2.6,-1,96.58194,0.00144
-0.3,2.6,0,96.58194,0.00393
-0.3,2.6,1,96.58194,0.00155
-0.3,2.6,2,96.58194,0.00014
-0.3,4,-2,94.28915,0.0001
-0.3,4,-1,94.28915,0.00102
-0.3,4,0,94.28915,0.00283
-0.3,4,1,94.28915,0.0011
-0.3,4,2,94.28915,0.0001
-0.3,6,-2,92.86241,0.00009
-0.3,6,-1,92.86241,0.00075
-0.3,6,0,92.86241,0.00197
-0.3,6,1,92.86241,0.00081
-0.3,6,2,92.86241,0.00009
0.2,0,-2,0,0.00162
0.2,0,-1,0,0.21766
0.2,0,0,0,0.49349
0.2,0,1,0,0.22853
0.2,0,2,0,0.00263
0.2,0.3,-2,56.30993,0.00093
0.2,0.3,-1,56.30993,0.06038
0.2,0.3,0,56.30993,0.1717
0.2,0.3,1,56.30993,0.07694
0.2,0.3,2,56.30993,0.00137
0.2,0.8,-2,75.96376,0.00053
0.2,0.8,-1,75.96376,0.01225
0.2,0.8,0,75.96376,0.03331
0.2,0.8,1,75.96376,0.01304
0.2,0.8,2,75.96376,0.00059
0.2,1.6,-2,82.87498,0.00032
0.2,1.6,-1,82.87498,0.00465
0.2,1.6,0,82.87498,0.01259
0.2,1.6,1,82.87498,0.00489
0.2,1.6,2,82.87498,0.00034
0.2,2.6,-2,85.60129,0.00019
0.2,2.6,-1,85.60129,0.00251
0.2,2.6,0,85.60129,0.00685
0.2,2.6,1,85.60129,0.00269
0.2,2.6,2,85.60129,0.0002
0.2,4,-2,87.13759,0.00013
0.2,4,-1,87.13759,0.00144
0.2,4,0,87.13759,0.00406
0.2,4,1,87.13759,0.00157
0.2,4,2,87.13759,0.00013
0.2,6,-2,88.09085,0.0001
0.2,6,-1,88.09085,0.00094
0.2,6,0,88.09085,0.0025
0.2,6,1,88.09085,0.00102
0.2,6,2,88.09085,0.00012
0.5,0,-2,0,0.00215
0.5,0,-1,0,0.12215
0.5,0,0,0,0.30399
0.5,0,1,0,0.13623
0.5,0,2,0,0.00294
0.5,0.3,-2,30.96376,0.00159
0.5,0.3,-1,30.96376,0.08178
0.5,0.3,0,30.96376,0.20562
0.5,0.3,1,30.96376,0.07879
0.5,0.3,2,30.96376,0.00223
0.5,0.8,-2,57.99462,0.00085
0.5,0.8,-1,57.99462,0.02372
0.5,0.8,0,57.99462,0.0625
0.5,0.8,1,57.99462,0.02258
0.5,0.8,2,57.99462,0.001
0.5,1.6,-2,72.64598,0.00042
0.5,1.6,-1,72.64598,0.00711
0.5,1.6,0,72.64598,0.01937
0.5,1.6,1,72.64598,0.0078
0.5,1.6,2,72.64598,0.00047
0.5,2.6,-2,79.11447,0.00024
0.5,2.6,-1,79.11447,0.00338
0.5,2.6,0,79.11447,0.0091
0.5,2.6,1,79.11447,0.00359
0.5,2.6,2,79.11447,0.00026
0.5,4,-2,82.87498,0.00015
0.5,4,-1,82.87498,0.00176
0.5,4,0,82.87498,0.00499
0.5,4,1,82.87498,0.00192
0.5,4,2,82.87498,0.00015
0.5,6,-2,85.23636,0.00012
0.5,6,-1,85.23636,0.00107
0.5,6,0,85.23636,0.00287
0.5,6,1,85.23636,0.00117
0.5,6,2,85.23636,0.00013
0.8,0,-2,0,0.00215
0.8,0,-1,0,0.08411
0.8,0,0,0,0.22856
0.8,0,1,0,0.09367
0.8,0,2,0,0.00265
0.8,0.3,-2,20.55605,0.00188
0.8,0.3,-1,20.55605,0.07241
0.8,0.3,0,20.55605,0.19428
0.8,0.3,1,20.55605,0.07795
0.8,0.3,2,20.55605,0.00226
0.8,0.8,-2,45,0.00113
0.8,0.8,-1,45,0.02921
0.8,0.8,0,45,0.08121
0.8,0.8,1,45,0.03105
0.8,0.8,2,45,0.00136
0.8,1.6,-2,63.43495,0.00054
0.8,1.6,-1,63.43495,0.01017
0.8,1.6,0,63.43495,0.02686
0.8,1.6,1,63.43495,0.01069
0.8,1.6,2,63.43495,0.00063
0.8,2.6,-2,72.89727,0.00029
0.8,2.6,-1,72.89727,0.0044
0.8,2.6,0,72.89727,0.01217
0.8,2.6,1,72.89727,0.00478
0.8,2.6,2,72.89727,0.00032
0.8,4,-2,78.69007,0.00017
0.8,4,-1,78.69007,0.00213
0.8,4,0,78.69007,0.00612
0.8,4,1,78.69007,0.00233
0.8,4,2,78.69007,0.00017
0.8,6,-2,82.40536,0.00013
0.8,6,-1,82.40536,0.00122
0.8,6,0,82.40536,0.0033
0.8,6,1,82.40536,0.00134
0.8,6,2,82.40536,0.00015
1.3,0,-2,0,0.00199
1.3,0,-1,0,0.05593
1.3,0,0,0,0.15447
1.3,0,1,0,0.05873
1.3,0,2,0,0.00226
1.3,0.3,-2,12.99462,0.00187
1.3,0.3,-1,12.99462,0.05191
1.3,0.3,0,12.99462,0.14018
1.3,0.3,1,12.99462,0.05544
1.3,0.3,2,12.99462,0.00208
1.3,0.8,-2,31.6075,0.00137
1.3,0.8,-1,31.6075,0.03485
1.3,0.8,0,31.6075,0.09665
1.3,0.8,1,31.6075,0.03798
1.3,0.8,2,31.6075,0.00148
1.3,1.6,-2,50.90614,0.00072
1.3,1.6,-1,50.90614,0.01491
1.3,1.6,0,50.90614,0.0402
1.3,1.6,1,50.90614,0.01635
1.3,1.6,2,50.90614,0.00081
1.3,2.6,-2,63.43495,0.0004
1.3,2.6,-1,63.43495,0.00627
1.3,2.6,0,63.43495,0.01751
1.3,2.6,1,63.43495,0.00669
1.3,2.6,2,63.43495,0.00046
1.3,4,-2,71.99584,0.00021
1.3,4,-1,71.99584,0.0028
1.3,4,0,71.99584,0.00806
1.3,4,1,71.99584,0.00309
1.3,4,2,71.99584,0.00022
1.3,6,-2,77.77488,0.00016
1.3,6,-1,77.77488,0.00149
1.3,6,0,77.77488,0.00406
1.3,6,1,77.77488,0.00163
1.3,6,2,77.77488,0.00018
2,0,-2,0,0.0017
2,0,-1,0,0.03848
2,0,0,0,0.09987
2,0,1,0,0.04269
2,0,2,0,0.00199
2,0.3,-2,8.53077,0.00164
2,0.3,-1,8.53077,0.0372
2,0.3,0,8.53077,0.09667
2,0.3,1,8.53077,0.04133
2,0.3,2,8.53077,0.0019
2,0.8,-2,21.80141,0.00138
2,0.8,-1,21.80141,0.02944
2,0.8,0,21.80141,0.07874
2,0.8,1,21.80141,0.03403
2,0.8,2,21.80141,0.00151
2,1.6,-2,38.65981,0.00087
2,1.6,-1,38.65981,0.01795
2,1.6,0,38.65981,0.04768
2,1.6,1,38.65981,0.01892
2,1.6,2,38.65981,0.00092
2,2.6,-2,52.43141,0.00054
2,2.6,-1,52.43141,0.00833
2,2.6,0,52.43141,0.02317
2,2.6,1,52.43141,0.0087
2,2.6,2,52.43141,0.00063
2,4,-2,63.43495,0.00028
2,4,-1,63.43495,0.00382
2,4,0,63.43495,0.01085
2,4,1,63.43495,0.00416
2,4,2,63.43495,0.00031
2,6,-2,71.56505,0.00021
2,6,-1,71.56505,0.00193
2,6,0,71.56505,0.00523
2,6,1,71.56505,0.00211
2,6,2,71.56505,0.00023
3.2,0,-2,0,0.0014
3.2,0,-1,0,0.0238
3.2,0,0,0,0.06521
3.2,0,1,0,0.02554
3.2,0,2,0,0.00166
3.2,0.3,-2,5.35583,0.00138
3.2,0.3,-1,5.35583,0.02342
3.2,0.3,0,5.35583,0.06478
3.2,0.3,1,5.35583,0.02512
3.2,0.3,2,5.35583,0.00164
3.2,0.8,-2,14.03624,0.00128
3.2,0.8,-1,14.03624,0.02107
3.2,0.8,0,14.03624,0.05927
3.2,0.8,1,14.03624,0.02269
3.2,0.8,2,14.03624,0.00151
3.2,1.6,-2,26.56505,0.00101
3.2,1.6,-1,26.56505,0.01611
3.2,1.6,0,26.56505,0.04544
3.2,1.6,1,26.56505,0.01699
3.2,1.6,2,26.56505,0.00111
3.2,2.6,-2,39.09386,0.00067
3.2,2.6,-1,39.09386,0.00999
3.2,2.6,0,39.09386,0.0281
3.2,2.6,1,39.09386,0.01069
3.2,2.6,2,39.09386,0.0007
3.2,4,-2,51.34019,0.00041
3.2,4,-1,51.34019,0.00533
3.2,4,0,51.34019,0.01508
3.2,4,1,51.34019,0.00583
3.2,4,2,51.34019,0.0005
3.2,6,-2,61.92751,0.00031
3.2,6,-1,61.92751,0.00277
3.2,6,0,61.92751,0.00734
3.2,6,1,61.92751,0.00298
3.2,6,2,61.92751,0.00034
5,0,-2,0,0.00105
5,0,-1,0,0.01468
5,0,0,0,0.04125
5,0,1,0,0.01623
5,0,2,0,0.00126
5,0.3,-2,3.43363,0.00104
5,0.3,-1,3.43363,0.01458
5,0.3,0,3.43363,0.04089
5,0.3,1,3.43363,0.01615
5,0.3,2,3.43363,0.00126
5,0.8,-2,9.09028,0.00101
5,0.8,-1,9.09028,0.01405
5,0.8,0,9.09028,0.03984
5,0.8,1,9.09028,0.01554
5,0.8,2,9.09028,0.00123
5,1.6,-2,17.74467,0.00094
5,1.6,-1,17.74467,0.01237
5,1.6,0,17.74467,0.03514
5,1.6,1,17.74467,0.01361
5,1.6,2,17.74467,0.00115
5,2.6,-2,27.47443,0.00083
5,2.6,-1,27.47443,0.00965
5,2.6,0,27.47443,0.02716
5,2.6,1,27.47443,0.01069
5,2.6,2,27.47443,0.00101
5,4,-2,38.65981,0.00069
5,4,-1,38.65981,0.00663
5,4,0,38.65981,0.01819
5,4,1,38.65981,0.00726
5,4,2,38.65981,0.00076
5,6,-2,50.19443,0.00047
5,6,-1,50.19443,0.00389
5,6,0,50.19443,0.00976
5,6,1,50.19443,0.00413
5,6,2,50.19443,0.0005
7.3,0,-2,0,0.00122
7.3,0,-1,0,0.01055
7.3,0,0,0,0.02773
7.3,0,1,0,0.01133
7.3,0,2,0,0.00129
7.3,0.3,-2,2.3533,0.00121
7.3,0.3,-1,2.3533,0.01052
7.3,0.3,0,2.3533,0.02759
7.3,0.3,1,2.3533,0.0113
7.3,0.3,2,2.3533,0.00129
7.3,0.8,-2,6.25403,0.0012
7.3,0.8,-1,6.25403,0.01033
7.3,0.8,0,6.25403,0.02677
7.3,0.8,1,6.25403,0.01114
7.3,0.8,2,6.25403,0.00127
7.3,1.6,-2,12.36249,0.00114
7.3,1.6,-1,12.36249,0.00974
7.3,1.6,0,12.36249,0.02527
7.3,1.6,1,12.36249,0.01043
7.3,1.6,2,12.36249,0.00121
7.3,2.6,-2,19.60409,0.00103
7.3,2.6,-1,19.60409,0.00868
7.3,2.6,0,19.60409,0.02206
7.3,2.6,1,19.60409,0.00924
7.3,2.6,2,19.60409,0.00109
7.3,4,-2,28.72033,0.00085
7.3,4,-1,28.72033,0.0069
7.3,4,0,28.72033,0.01692
7.3,4,1,28.72033,0.00733
7.3,4,2,28.72033,0.00092
7.3,6,-2,39.41739,0.00062
7.3,6,-1,39.41739,0.0048
7.3,6,0,39.41739,0.01081
7.3,6,1,39.41739,0.005
7.3,6,2,39.41739,0.00069
10,0,-2,0,0.00112
10,0,-1,0,0.00837
10,0,0,0,0.01827
10,0,1,0,0.00874
10,0,2,0,0.00125
10,0.3,-2,1.71836,0.00112
10,0.3,-1,1.71836,0.00835
10,0.3,0,1.71836,0.01822
10,0.3,1,1.71836,0.00873
10,0.3,2,1.71836,0.00125
10,0.8,-2,4.57392,0.00111
10,0.8,-1,4.57392,0.00828
10,0.8,0,4.57392,0.01797
10,0.8,1,4.57392,0.00869
10,0.8,2,4.57392,0.00124
10,1.6,-2,9.09028,0.00109
10,1.6,-1,9.09028,0.00803
10,1.6,0,9.09028,0.01745
10,1.6,1,9.09028,0.00837
10,1.6,2,9.09028,0.00121
10,2.6,-2,14.57422,0.00103
10,2.6,-1,14.57422,0.00751
10,2.6,0,14.57422,0.01602
10,2.6,1,14.57422,0.00784
10,2.6,2,14.57422,0.00115
10,4,-2,21.80141,0.00094
10,4,-1,21.80141,0.00659
10,4,0,21.80141,0.01358
10,4,1,21.80141,0.00685
10,4,2,21.80141,0.00104
10,6,-2,30.96376,0.0008
10,6,-1,30.96376,0.00515
10,6,0,30.96376,0.00996
10,6,1,30.96376,0.00535
10,6,2,30.96376,0.00088
13,0,-2,0,0.00124
13,0,-1,0,0.00689
13,0,0,0,0.01225
13,0,1,0,0.0071
13,0,2,0,0.00135
13,0.3,-2,1.32198,0.00124
13,0.3,-1,1.32198,0.00688
13,0.3,0,1.32198,0.01223
13,0.3,1,1.32198,0.00709
13,0.3,2,1.32198,0.00135
13,0.8,-2,3.52145,0.00124
13,0.8,-1,3.52145,0.00684
13,0.8,0,3.52145,0.01213
13,0.8,1,3.52145,0.00707
13,0.8,2,3.52145,0.00135
13,1.6,-2,7.0165,0.00123
13,1.6,-1,7.0165,0.00672
13,1.6,0,7.0165,0.0119
13,1.6,1,7.0165,0.00694
13,1.6,2,7.0165,0.00133
13,2.6,-2,11.30993,0.0012
13,2.6,-1,11.30993,0.00645
13,2.6,0,11.30993,0.01129
13,2.6,1,11.30993,0.00666
13,2.6,2,11.30993,0.0013
13,4,-2,17.10273,0.00115
13,4,-1,17.10273,0.00591
13,4,0,17.10273,0.01013
13,4,1,17.10273,0.00608
13,4,2,17.10273,0.00125
13,6,-2,24.77514,0.00107
13,6,-1,24.77514,0.00497
13,6,0,24.77514,0.00817
13,6,1,24.77514,0.0051
13,6,2,24.77514,0.00116
