,fMHz,x,mean,std
0,100.0,0.025,-20.399923692807256,1.9153031021125018
1,100.0,0.045,-15.364999363742669,1.8178336825692347
2,100.0,0.065,-12.070445025582378,1.987315813472706
3,100.0,0.085,-9.823211299314321,1.8771356777450199
4,100.0,0.105,-8.058523444235504,1.8938737538793402
5,100.0,0.125,-6.443303171719122,2.1414313934802904
6,100.0,0.145,-4.789646067956145,2.5099559295517127
7,100.0,0.165,-2.823955939624291,2.8152464846031506
8,100.0,0.185,-1.8788787085154375,2.5560441018378754
9,100.0,0.205,-1.2934889509756415,2.265320302281821
10,100.0,0.225,-0.9980198308711352,1.9731971978813312
11,100.0,0.245,-0.751304179446402,1.7293563945200598
12,100.0,0.265,-0.5609188563506848,1.568887906205758
13,100.0,0.285,-0.480412850944221,1.4430552120216706
14,100.0,0.305,-0.361291259094229,1.374362979215663
15,100.0,0.325,-0.3036611957599662,1.3083416975807802
16,100.0,0.345,-0.2805429952552494,1.24832843690448
17,100.0,0.365,-0.2619587801736522,1.200531906631888
18,100.0,0.385,-0.24670789640836358,1.1618874137518054
19,100.0,0.405,-0.23398705754633756,1.1301778403629474
20,100.0,0.425,-0.22321227100122254,1.103754999495594
21,100.0,0.445,-0.2138235683583759,1.081056889248305
22,100.0,0.465,-0.20426940712540792,1.0617913303797826
23,100.0,0.485,-0.16049356782437693,1.029890053498162
24,100.0,0.505,-0.1327194460579405,1.0078322767126746
25,100.0,0.525,-0.11285619869923164,0.9906185364434614
26,100.0,0.545,-0.09384544740596006,0.9765370395869849
27,100.0,0.565,-0.04473248016335962,0.9531638491529126
28,100.0,0.585,-0.002997134701296147,0.9271122474716755
29,100.0,0.605,0.030856115157032224,0.9061436649605886
30,100.0,0.625,0.05813420007112344,0.8882595890002727
31,100.0,0.645,0.08053320434530714,0.8776976720115849
32,100.0,0.665,0.09864760762492354,0.8714890263149476
33,100.0,0.685,0.10697966369866263,0.8678132466804541
34,100.0,0.705,0.11304804426893945,0.8351673289554878
35,100.0,0.725,0.11303492812616485,0.7938543390010822
36,100.0,0.745,0.0979661142514722,0.7491826175401256
37,100.0,0.765,0.05436824705281427,0.6980270546748542
38,100.0,0.785,0.034538205083854655,0.6324724156483781
39,100.0,0.805,-0.010274392298882131,0.5413466545844603
40,100.0,0.825,-0.0008643146283267491,0.4881409558782482
41,100.0,0.845,0.00632145063768788,0.438358631201229
42,100.0,0.865,0.012055924532269906,0.3940698394736525
43,100.0,0.885,0.016727740183229298,0.3576276334010665
44,100.0,0.905,0.020909379551079712,0.3305635060012509
45,100.0,0.925,0.022693143824703704,0.31397258220514956
46,100.0,0.945,0.02424729815993745,0.3004630834605206
47,100.0,0.965,0.025190415305019632,0.28876751020056607
48,100.0,0.985,0.03895535993838218,0.2736403801335523
49,100.0,1.005,0.04751047445404256,0.26220888849816004
50,100.0,1.025,0.05010744671223828,0.25413226224386937
51,100.0,1.045,0.05047292157113337,0.24792013468057986
52,100.0,1.065,0.04793082054989605,0.24308232598899257
53,100.0,1.085,0.03623709357807365,0.23594594079032638
54,100.0,1.105,0.009125019181272793,0.221374743225487
55,100.0,1.125,0.00823085342932335,0.2209970324044064
56,100.0,1.145,0.037463662668140996,0.21730734207599622
57,100.0,1.165,0.03818337983464067,0.21386469216856652
58,100.0,1.185,0.040735959034081115,0.21038579344811856
59,100.0,1.205,0.042229109219609866,0.20842445791048084
60,100.0,1.225,0.04278388682424425,0.20754225558989287
61,100.0,1.245,0.04242004413627254,0.2074092314111721
62,100.0,1.265,0.04108883254110573,0.20852014162417465
63,100.0,1.285,0.047233046212133305,0.20378603964154368
64,100.0,1.305,0.055364105197371095,0.1992489320081516
65,100.0,1.325,0.07040455197439949,0.1876967780107679
66,100.0,1.345,0.09467394373775959,0.1766676030060867
67,100.0,1.365,0.12819491423001597,0.1558254757609284
68,100.0,1.385,0.15669585540524372,0.13830222166375544
69,100.0,1.405,0.19671750493851045,0.11853431794505882
70,100.0,1.425,0.2474831217751642,0.10349248154289135
71,100.0,1.445,0.2733697477064948,0.08509188609044385
72,100.0,1.465,0.3023518129179183,0.06165951954849396
73,100.0,1.485,0.32948561363994877,0.039911745704445625
74,100.0,1.505,0.3505908780507791,0.022989817223493775
75,300.0,0.025,-19.27253896812384,3.8318478536087506
76,300.0,0.045,-14.347626458509271,3.5864220696556273
77,300.0,0.065,-10.764306713294918,3.7462155469690037
78,300.0,0.085,-7.412823140988183,3.7289658176716456
79,300.0,0.105,-5.240257753709104,3.355349601774061
80,300.0,0.125,-3.281995190597455,2.558376989622893
81,300.0,0.145,-1.716704027638711,2.218249306324143
82,300.0,0.165,-1.3617054271250357,1.9522386734895976
83,300.0,0.185,-0.7288412298619529,1.9970893040747812
84,300.0,0.205,-0.6096305507781855,1.736870869607005
85,300.0,0.225,-0.48559052552615756,1.6003113074153075
86,300.0,0.245,-0.27119093803164607,1.4311374528816105
87,300.0,0.265,-0.10103259096911363,1.2043429634093323
88,300.0,0.285,0.007028252544913446,1.066843104723712
89,300.0,0.305,0.040631774623725365,0.929193766703677
90,300.0,0.325,0.04024768463309982,0.8720342992130455
91,300.0,0.345,0.05710195561403206,0.7913079262264001
92,300.0,0.365,0.05163909315081059,0.7650782513373703
93,300.0,0.385,0.06287340358901557,0.7158035892204277
94,300.0,0.405,0.05583078809105108,0.7094281988094019
95,300.0,0.425,0.06473254273720046,0.6807827765633687
96,300.0,0.445,0.0731016939744121,0.6619902715107633
97,300.0,0.465,0.06802774034974288,0.6693353895157611
98,300.0,0.485,0.07614284428486408,0.657728198312263
99,300.0,0.505,0.0716675670070873,0.6645248118471597
100,300.0,0.525,0.07921620252827748,0.654405993113305
101,300.0,0.545,0.08591113762337181,0.6460724317320982
102,300.0,0.565,0.08232686455199413,0.6485980891518922
103,300.0,0.585,0.08850904707066443,0.6396850261216531
104,300.0,0.605,0.08536951494780551,0.6391935173319234
105,300.0,0.625,0.09104846298295771,0.6305844564251576
106,300.0,0.645,0.09602263024060723,0.6231210617802329
107,300.0,0.665,0.09333225956339826,0.619642238565782
108,300.0,0.685,0.09790900034379853,0.6095084373792161
109,300.0,0.705,0.10192041419130266,0.5985696211634526
110,300.0,0.725,0.1053796227085401,0.587141483073027
111,300.0,0.745,0.10322586393285633,0.5772765227398323
112,300.0,0.765,0.10630190204749466,0.5651129238998915
113,300.0,0.785,0.10884709132248394,0.5535086787774944
114,300.0,0.805,0.10679474639928867,0.5433990021892507
115,300.0,0.825,0.10891293210737797,0.5331892988957164
116,300.0,0.845,0.11053266743356271,0.5244809009412752
117,300.0,0.865,0.10852788406304024,0.5168005698206265
118,300.0,0.885,0.10973143806188626,0.5105108353392263
119,300.0,0.905,0.11050605482331166,0.5055900980203539
120,300.0,0.925,0.1108280557181194,0.5024999165869817
121,300.0,0.945,0.1086728444389046,0.5001981941930244
122,300.0,0.965,0.10851891058029489,0.5006344001654722
123,300.0,0.985,0.10800123400690478,0.5024356601811295
124,300.0,1.005,0.10715304627714939,0.5047823105394986
125,300.0,1.025,0.10491129245059846,0.5061694683282671
126,300.0,1.045,0.10383558116571205,0.5095200633708201
127,300.0,1.065,0.10249044018000929,0.5134913266739033
128,300.0,1.085,0.10043123763045783,0.5161936688860457
129,300.0,1.105,0.09909418343896052,0.5209019899278967
130,300.0,1.125,0.09768358509441145,0.5258954198958101
131,300.0,1.145,0.09627642170987233,0.5310396240378172
132,300.0,1.165,0.09494534665738653,0.536291155394059
133,300.0,1.185,0.09384770636771037,0.5396640582858064
134,300.0,1.205,0.09298797541011536,0.5447416794255214
135,300.0,1.225,0.09233506725176482,0.5496464138901213
136,300.0,1.245,0.09191455712521689,0.5541571742482048
137,300.0,1.265,0.09163903313202015,0.5581765071696283
138,300.0,1.285,0.09153561880427777,0.5614316878352399
139,300.0,1.305,0.09224897398224934,0.561993142110245
140,300.0,1.325,0.09258433395282566,0.5638155119496198
141,300.0,1.345,0.09290421206449925,0.5647733897590441
142,300.0,1.365,0.09316511616957236,0.5647907594890152
143,300.0,1.385,0.09466323682692193,0.5619078159541773
144,300.0,1.405,0.0949875679626992,0.5599620258822583
145,300.0,1.425,0.09590812763777139,0.5560706049663743
146,300.0,1.445,0.0969431873208599,0.5512726687190705
147,300.0,1.465,0.09702641433754156,0.5463959118370704
148,300.0,1.485,0.09889109079117321,0.5389823215151396
149,300.0,1.505,0.09882587172435256,0.5324151027189308
150,300.0,1.525,0.09850869072913351,0.5250334199410734
151,300.0,1.545,0.10037867227066763,0.5156595620498847
152,300.0,1.565,0.09946836273074276,0.5069199059339365
153,300.0,1.585,0.10116348634020193,0.4968304907553289
154,300.0,1.605,0.09950752758309903,0.4871911452852571
155,300.0,1.625,0.10092692534686631,0.47704687138438107
156,300.0,1.645,0.10213902182774869,0.467211863987681
157,300.0,1.665,0.09941808249957822,0.45792380766520313
158,300.0,1.685,0.10012990889524122,0.44964306086334016
159,300.0,1.705,0.09641132624976338,0.4419407729354805
160,300.0,1.725,0.09209430258205334,0.43533805355442773
161,300.0,1.745,0.09216450741034886,0.4316899780376823
162,300.0,1.765,0.08719462194476482,0.42732302007264145
163,300.0,1.785,0.08695144362577674,0.4261467097312787
164,300.0,1.805,0.08166668280941096,0.4247806611647119
165,300.0,1.825,0.07626592627805392,0.42487728446415973
166,300.0,1.845,0.07090925994863213,0.42653610294376587
167,300.0,1.865,0.06588315104824248,0.4296189013696947
168,300.0,1.885,0.061291617274311656,0.43431030374746643
169,300.0,1.905,0.052407361702311465,0.43963775141238776
170,300.0,1.925,0.04909820570569597,0.4483315766797474
171,300.0,1.945,0.042167188549932,0.4584787573796985
172,300.0,1.965,0.036396721411123864,0.4709614924306629
173,300.0,1.985,0.0353563351850531,0.4845784967593628
174,300.0,2.005,0.03476047367706873,0.4989748607071551
175,300.0,2.025,0.03442537618342717,0.5137616095657203
176,300.0,2.045,0.034002749909590464,0.528495571356526
177,300.0,2.065,0.033460191848502296,0.5429947777022623
178,300.0,2.085,0.032775911521243144,0.5570863896341867
179,300.0,2.105,0.03569904181328707,0.5692146899471778
180,300.0,2.125,0.03465312728295262,0.5819244853211013
181,300.0,2.145,0.03737908836793887,0.592358265710561
182,300.0,2.165,0.035664836179824494,0.6030615051152047
183,300.0,2.185,0.038137569997690315,0.6114430269249492
184,300.0,2.205,0.0405490150368966,0.6187175685038342
185,300.0,2.225,0.0429038664576615,0.6248468067731102
186,300.0,2.245,0.0720319122833514,0.6221822541654732
187,300.0,2.265,0.12630543364851787,0.6086809505361337
188,300.0,2.285,0.14668791793294136,0.604055385439125
189,300.0,2.305,0.16688473807726872,0.5977599465422949
190,300.0,2.325,0.17610507504304274,0.5888620378554705
191,300.0,2.345,0.19617643928973774,0.5786344131716947
192,300.0,2.365,0.2155792944559678,0.5669178483198126
193,300.0,2.385,0.216813004868037,0.5623410788635929
194,300.0,2.405,0.2281375616313644,0.5478662566357981
195,300.0,2.425,0.23075354884017105,0.543731200596817
196,300.0,2.445,0.24647028960883144,0.5269699870260484
197,300.0,2.465,0.23832020541831955,0.5162456434423646
198,300.0,2.485,0.25212314279434633,0.49701757905125304
199,300.0,2.505,0.2416178806948182,0.4864287012042159
200,300.0,2.525,0.22911473501241805,0.47374971295604806
201,300.0,2.545,0.22471040408800463,0.4493225330339355
202,300.0,2.565,0.20069617528827774,0.4314616019918322
203,300.0,2.585,0.16152732184235327,0.4026624626760167
204,300.0,2.605,0.17333961196841477,0.3730716510506871
205,300.0,2.625,0.17082610823522176,0.3543561495260574
206,300.0,2.645,0.16810540044016492,0.33539879687279955
207,300.0,2.665,0.17744039381215937,0.3051700318177889
208,300.0,2.685,0.1738612726641845,0.2860990811642146
209,300.0,2.705,0.17006739631419907,0.2672536361198243
210,300.0,2.725,0.17675110069771618,0.23778670671504434
211,300.0,2.745,0.1719966738606111,0.2198635377921804
212,300.0,2.765,0.16686100903543022,0.20217324338943454
213,300.0,2.785,0.17052936772667496,0.17553925790644598
214,300.0,2.805,0.16432118360401546,0.16365488571761663
215,300.0,2.825,0.16594486105891276,0.14597624825446945
216,300.0,2.845,0.1587760960877682,0.14515829640230787
217,300.0,2.865,0.15855950999324545,0.1421457346108661
218,300.0,2.885,0.1505498362750914,0.15416700374548212
219,300.0,2.905,0.14884561575282976,0.1653539569691794
220,300.0,2.925,0.14631740360453024,0.18231573348106017
221,300.0,2.945,0.13718204783377094,0.20548642952706042
222,300.0,2.965,0.1333617006303768,0.2280594742492916
223,300.0,2.985,0.12935228771728222,0.25194256994093894
224,300.0,3.005,0.1322376062815457,0.27526428363160194
225,300.0,3.025,0.13036884032732504,0.29846463650740346
226,300.0,3.045,0.1378058045643771,0.3202788040500092
227,300.0,3.065,0.14853671212343028,0.3410902049357892
228,300.0,3.085,0.15229155365933678,0.3623682051275303
229,300.0,3.105,0.17031245419105367,0.37952256970953147
230,300.0,3.125,0.19377787625315385,0.39307711915952603
231,300.0,3.145,0.2064651557667232,0.4085202233338839
232,300.0,3.165,0.23976739079986634,0.4145036891784325
233,300.0,3.185,0.2588526031410856,0.42450143842082544
234,300.0,3.205,0.2803562149362652,0.4321346261491282
235,300.0,3.225,0.30427102544822276,0.43725809388556897
236,300.0,3.245,0.3305260241207043,0.43980002007552543
237,300.0,3.265,0.3333614294618138,0.45360917791098376
238,300.0,3.285,0.36256514916050836,0.4523321004904667
239,300.0,3.305,0.3937368547583619,0.44855109749054306
240,300.0,3.325,0.3978624687399094,0.4591885097307593
241,300.0,3.345,0.43136714545701926,0.4518086946307922
242,300.0,3.365,0.4664054601506527,0.4420566532228282
243,300.0,3.385,0.4713244266032504,0.4497102968771749
244,300.0,3.405,0.508014267180259,0.4366198399542042
245,300.0,3.425,0.5129923587227058,0.4425908714223874
246,300.0,3.445,0.5176914613535433,0.4479711945150484
247,300.0,3.465,0.555681934169878,0.43091620252808066
248,300.0,3.485,0.5601795613155762,0.4348247981918246
249,300.0,3.505,0.5987059141414172,0.41518467336405673
250,300.0,3.525,0.6028382619223284,0.4177526510807255
251,300.0,3.545,0.6066001581168868,0.4198369896638231
252,300.0,3.565,0.6451532604416582,0.39696343476961127
253,300.0,3.585,0.6483582243676421,0.39782545721590346
254,300.0,3.605,0.6511550028217026,0.39826660686758064
255,300.0,3.625,0.6535454461332881,0.3982984228969802
256,300.0,3.645,0.6911004886494541,0.37200425866124276
257,300.0,3.665,0.6926668103098015,0.37119001692324416
258,300.0,3.685,0.6937983042842922,0.3700305915492974
259,300.0,3.705,0.7299486624115293,0.3413621559505174
260,300.0,3.725,0.7301271832442263,0.3395065894550053
261,300.0,3.745,0.7298496845447614,0.3373687980502784
262,300.0,3.765,0.7291210254669606,0.33496033837743844
263,300.0,3.785,0.7628221251677069,0.30360746053132465
264,300.0,3.805,0.7609915820410743,0.3007409540871917
265,300.0,3.825,0.7587028177347125,0.29765813354600984
266,300.0,3.845,0.7559174247033925,0.29437429572487644
267,300.0,3.865,0.7851749929992342,0.26362002140695556
268,300.0,3.885,0.7811043595551924,0.2602848805793697
269,300.0,3.905,0.7765866541311857,0.2567896369701622
270,300.0,3.925,0.7716312580810377,0.25314215366423226
271,300.0,3.945,0.7957876893289026,0.22430676513356324
272,300.0,3.965,0.789523903371031,0.22076323754706068
273,300.0,3.985,0.7828351870967918,0.21710479854906556
274,300.0,4.005,0.7757322373754963,0.21333783791086505
275,300.0,4.025,0.7945779643473775,0.18698155107415404
276,300.0,4.045,0.7861741501027097,0.1834400731278231
277,300.0,4.065,0.7773318205266654,0.17983705483494933
278,300.0,4.085,0.7916659645966889,0.1560125726974531
279,300.0,4.105,0.781579056922044,0.1526785868357491
280,300.0,4.125,0.7711258062328109,0.14928799706957785
281,300.0,4.145,0.7811967356890861,0.12784099377526573
282,300.0,4.165,0.7695460606471842,0.12478504257032626
283,300.0,4.185,0.7762923853818745,0.1053930762192023
284,300.0,4.205,0.7634982247390674,0.10268810467342297
285,300.0,4.225,0.7669641874738302,0.08538951823372355
286,300.0,4.245,0.7680248610437159,0.06982995213936223
287,300.0,4.265,0.7533873127169067,0.06784051604338583
288,300.0,4.285,0.7514569487853457,0.05427930190466381
289,300.0,4.305,0.7473066624814354,0.04236576746380766
290,300.0,4.325,0.7409912299833245,0.032129407702401205
291,300.0,4.345,0.732562158989071,0.023580722572402096
292,300.0,4.365,0.7281808633596119,0.01097571433470439
293,300.0,4.385,0.7203084837518056,0.000933358420337649
294,1000.0,0.025,-16.07122212540465,3.8661068034824018
295,1000.0,0.045,-11.552509736404032,3.276891786987539
296,1000.0,0.065,-8.125149299182937,3.3232422575854415
297,1000.0,0.085,-5.8079689398951535,3.503917726761859
298,1000.0,0.105,-3.957324074507271,3.5193631103929706
299,1000.0,0.125,-2.172578069291996,2.965070077996908
300,1000.0,0.145,-1.8115719330782474,2.707925089381861
301,1000.0,0.165,-1.480838334957813,2.4694895340907337
302,1000.0,0.185,-1.103821729585805,2.0460680789356585
303,1000.0,0.205,-0.9881793229934447,2.0111107061364293
304,1000.0,0.225,-0.6808954769209,1.9590085160929398
305,1000.0,0.245,-0.5626289627030154,1.9482814024898996
306,1000.0,0.265,-0.177350776520707,1.742904343023156
307,1000.0,0.285,-0.1386043584090854,1.7473577652110608
308,1000.0,0.305,-0.15358514105002968,1.7554356457084936
309,1000.0,0.325,-0.17132223593851562,1.7662634040498164
310,1000.0,0.345,-0.08354036936053268,1.621195143177273
311,1000.0,0.365,-0.10141736991574023,1.6416787578028798
312,1000.0,0.385,-0.1169088032281581,1.661980416380776
313,1000.0,0.405,-0.12896655137768642,1.6810717196336713
314,1000.0,0.425,-0.04435824201367061,1.5709273709199993
315,1000.0,0.445,-0.05332741524063166,1.5909437056706586
316,1000.0,0.465,-0.060878584699801154,1.6090249465776443
317,1000.0,0.485,0.02252352514543455,1.50775664333764
318,1000.0,0.505,0.014669925548104564,1.5259035028333927
319,1000.0,0.525,0.09082892005884312,1.4298997995525964
320,1000.0,0.545,0.07667247006286942,1.4506160692540682
321,1000.0,0.565,0.1487474334307385,1.3548654237865154
322,1000.0,0.585,0.13621129541726362,1.373392396042093
323,1000.0,0.605,0.12456971523016133,1.3902951304333746
324,1000.0,0.625,0.11431802410373892,1.4057099046441677
325,1000.0,0.645,0.18847434619027292,1.3114325091708092
326,1000.0,0.665,0.18102443898116322,1.3251664745074243
327,1000.0,0.685,0.1747553755790748,1.3376712660919852
328,1000.0,0.705,0.16964681578165805,1.3485227919841456
329,1000.0,0.725,0.1656512519039414,1.3574145275962652
330,1000.0,0.745,0.239344568124917,1.2734356630835133
331,1000.0,0.765,0.236414414142882,1.2822944651374617
332,1000.0,0.785,0.23307481573466382,1.292425342312156
333,1000.0,0.805,0.22952028878400416,1.3037409310668775
334,1000.0,0.825,0.29870921376621384,1.2321396610064124
335,1000.0,0.845,0.29422359609982107,1.2429097215353313
336,1000.0,0.865,0.36607174324521713,1.156535330237841
337,1000.0,0.885,0.3627986196593655,1.1621555202791853
338,1000.0,0.905,0.434893123526115,1.0663311625861311
339,1000.0,0.925,0.4312313272312517,1.0719274809903525
340,1000.0,0.945,0.4279729694671429,1.0775384625934963
341,1000.0,0.965,0.4981315435653465,0.982071478090346
342,1000.0,0.985,0.4946261119538221,0.9904310647644614
343,1000.0,1.005,0.4905249634861777,1.0012686121849177
344,1000.0,1.025,0.4864258512249582,1.0127393755627208
345,1000.0,1.045,0.4816246085040653,1.0266470774337453
346,1000.0,1.065,0.47686952422081347,1.0405846252963329
347,1000.0,1.085,0.4715799767612825,1.0562541355735602
348,1000.0,1.105,0.4663189047421169,1.0716281799757312
349,1000.0,1.125,0.46072096015824326,1.0875974592714948
350,1000.0,1.145,0.4552428189271087,1.1032742855096689
351,1000.0,1.165,0.4489869215831065,1.1204362599630269
352,1000.0,1.185,0.44245724996790675,1.1378686019146953
353,1000.0,1.205,0.4929383638468988,1.1080355696824187
354,1000.0,1.225,0.48631737898776906,1.126823972620044
355,1000.0,1.245,0.4801505072993441,1.1444588455829816
356,1000.0,1.265,0.5346850295457671,1.1093088750231113
357,1000.0,1.285,0.5967459178428987,1.0565388057372467
358,1000.0,1.305,0.5991045762317648,1.0564853996574375
359,1000.0,1.325,0.6716672874928866,0.9736622032544993
360,1000.0,1.345,0.6776843328507283,0.9624168007218108
361,1000.0,1.365,0.6842391588998753,0.9488121813879511
362,1000.0,1.385,0.7631286859708215,0.8325662634175135
363,1000.0,1.405,0.7708492998347252,0.8105503775223993
364,1000.0,1.425,0.7783522110766897,0.7880487882004411
365,1000.0,1.445,0.7853931120261898,0.7656813873613285
366,1000.0,1.465,0.7917944905252603,0.7442789683189175
367,1000.0,1.485,0.7976746783630267,0.7239530497131594
368,1000.0,1.505,0.8027545659306368,0.705481564294295
369,1000.0,1.525,0.8068905325000276,0.6897954953306037
370,1000.0,1.545,0.8098119414392504,0.6770541414013677
371,1000.0,1.565,0.811668084078297,0.6676730100333307
372,1000.0,1.585,0.8124617892522618,0.6617151093026745
373,1000.0,1.605,0.812464469500302,0.6585046103624584
374,1000.0,1.625,0.8679916922631761,0.5696409407521689
375,1000.0,1.645,0.8645712830415129,0.5790654942566429
376,1000.0,1.665,0.8603877983475792,0.5912684571347094
377,1000.0,1.685,0.8552261840852611,0.6067698977556305
378,1000.0,1.705,0.8491386783523936,0.6247875423717446
379,1000.0,1.725,0.8421952843643367,0.6451475671220283
380,1000.0,1.745,0.8346917326360735,0.6669393567264079
