freq [Hz],alpha,epsr,sigma [S/m], P (absorbed in volume) [W],SAR (volume average) [W/kg]
3.00000E+01,7.50000E-01,4.86300E+01,2.95700E-01,1.18290E-03,2.03010E-05
3.00000E+01,1.00000E+00,6.48400E+01,3.86600E-01,1.00730E-03,1.73110E-05
3.00000E+01,1.25000E+00,8.10500E+01,4.60100E-01,8.84590E-04,1.52230E-05
4.00000E+01,7.50000E-01,4.28600E+01,2.92200E-01,2.18730E-03,3.77290E-05
4.00000E+01,1.00000E+00,5.71400E+01,3.85200E-01,2.00770E-03,3.43950E-05
4.00000E+01,1.25000E+00,7.14300E+01,4.62000E-01,1.83960E-03,3.16660E-05
5.00000E+01,7.50000E-01,3.93900E+01,2.86300E-01,3.44900E-03,5.90200E-05
5.00000E+01,1.00000E+00,5.25200E+01,3.80900E-01,3.44460E-03,5.89900E-05
5.00000E+01,1.25000E+00,6.56500E+01,4.61300E-01,3.34470E-03,5.73830E-05
6.00000E+01,7.50000E-01,3.70700E+01,2.79800E-01,4.53080E-03,7.71320E-05
6.00000E+01,1.00000E+00,4.94300E+01,3.75800E-01,4.89430E-03,8.34010E-05
6.00000E+01,1.25000E+00,6.17800E+01,4.59900E-01,5.05200E-03,8.61500E-05
6.50000E+01,7.50000E-01,3.61800E+01,2.76500E-01,4.85890E-03,8.24740E-05
6.50000E+01,1.00000E+00,4.82400E+01,3.73100E-01,5.32750E-03,9.05500E-05
6.50000E+01,1.25000E+00,6.02900E+01,4.59100E-01,5.58540E-03,9.48560E-05
7.00000E+01,7.50000E-01,3.54100E+01,2.73200E-01,4.98060E-03,8.46680E-05
7.00000E+01,1.00000E+00,4.72100E+01,3.70400E-01,5.47250E-03,9.26290E-05
7.00000E+01,1.25000E+00,5.90200E+01,4.58400E-01,5.72570E-03,9.72860E-05
8.00000E+01,7.50000E-01,3.41600E+01,2.66800E-01,4.71300E-03,7.95720E-05
8.00000E+01,1.00000E+00,4.55500E+01,3.65200E-01,4.97050E-03,8.39170E-05
8.00000E+01,1.25000E+00,5.69300E+01,4.56900E-01,5.04340E-03,8.52180E-05
9.00000E+01,7.50000E-01,3.31800E+01,2.60700E-01,4.06410E-03,6.85070E-05
9.00000E+01,1.00000E+00,4.42400E+01,3.60200E-01,4.07390E-03,6.87530E-05
9.00000E+01,1.25000E+00,5.53000E+01,4.55600E-01,4.00660E-03,6.74900E-05
1.00000E+02,7.50000E-01,3.24000E+01,2.55000E-01,3.37840E-03,5.68420E-05
1.00000E+02,1.00000E+00,4.32000E+01,3.55600E-01,3.28090E-03,5.51980E-05
1.00000E+02,1.25000E+00,5.40000E+01,4.54600E-01,3.19010E-03,5.37530E-05
1.20000E+02,7.50000E-01,3.12100E+01,2.45000E-01,2.37750E-03,3.99270E-05
1.20000E+02,1.00000E+00,4.16200E+01,3.47800E-01,2.32120E-03,3.89540E-05
1.20000E+02,1.25000E+00,5.20200E+01,4.53600E-01,2.28840E-03,3.83420E-05
1.50000E+02,7.50000E-01,3.00100E+01,2.34100E-01,1.78490E-03,2.99090E-05
1.50000E+02,1.00000E+00,4.00200E+01,3.40000E-01,1.82840E-03,3.06170E-05
1.50000E+02,1.25000E+00,5.00200E+01,4.55100E-01,1.81100E-03,3.03550E-05
1.80000E+02,7.50000E-01,2.92000E+01,2.28000E-01,1.74090E-03,2.91450E-05
1.80000E+02,1.00000E+00,3.89400E+01,3.37100E-01,1.74760E-03,2.91630E-05
1.80000E+02,1.25000E+00,4.86700E+01,4.60300E-01,1.69870E-03,2.84120E-05
2.00000E+02,7.50000E-01,2.87900E+01,2.26200E-01,1.79050E-03,2.99290E-05
2.00000E+02,1.00000E+00,3.83900E+01,3.37600E-01,1.75140E-03,2.92490E-05
2.00000E+02,1.25000E+00,4.79800E+01,4.65400E-01,1.68670E-03,2.82060E-05
3.00000E+02,7.50000E-01,2.75200E+01,2.36900E-01,1.44820E-03,2.41700E-05
3.00000E+02,1.00000E+00,3.66900E+01,3.59500E-01,1.36480E-03,2.28010E-05
3.00000E+02,1.25000E+00,4.58600E+01,5.04200E-01,1.27190E-03,2.12560E-05
4.00000E+02,7.50000E-01,2.68400E+01,2.63400E-01,1.41520E-03,2.35940E-05
4.00000E+02,1.00000E+00,3.57900E+01,3.96500E-01,1.32020E-03,2.19980E-05
4.00000E+02,1.25000E+00,4.47400E+01,5.51600E-01,1.22720E-03,2.04600E-05
5.00000E+02,7.50000E-01,2.64200E+01,2.94400E-01,1.37410E-03,2.28660E-05
5.00000E+02,1.00000E+00,3.52200E+01,4.37300E-01,1.25750E-03,2.09480E-05
5.00000E+02,1.25000E+00,4.40300E+01,5.99600E-01,1.14450E-03,1.90760E-05
6.00000E+02,7.50000E-01,2.61100E+01,3.26200E-01,1.34860E-03,2.24110E-05
6.00000E+02,1.00000E+00,3.48200E+01,4.78300E-01,1.22570E-03,2.03640E-05
6.00000E+02,1.25000E+00,4.35200E+01,6.46500E-01,1.13310E-03,1.88110E-05
7.00000E+02,7.50000E-01,2.58800E+01,3.57700E-01,1.30810E-03,2.16760E-05
7.00000E+02,1.00000E+00,3.45100E+01,5.18500E-01,1.17850E-03,1.95230E-05
7.00000E+02,1.25000E+00,4.31300E+01,6.92200E-01,1.09540E-03,1.81580E-05
8.00000E+02,7.50000E-01,2.56900E+01,3.88900E-01,1.27290E-03,2.10220E-05
8.00000E+02,1.00000E+00,3.42600E+01,5.58100E-01,1.17650E-03,1.94300E-05
8.00000E+02,1.25000E+00,4.28200E+01,7.37000E-01,1.10870E-03,1.83070E-05
9.00000E+02,7.50000E-01,2.55400E+01,4.19700E-01,1.27770E-03,2.10380E-05
9.00000E+02,1.00000E+00,3.40500E+01,5.97300E-01,1.20280E-03,1.98040E-05
9.00000E+02,1.25000E+00,4.25700E+01,7.81600E-01,1.12080E-03,1.84600E-05
1.00000E+03,7.50000E-01,2.54000E+01,4.50300E-01,1.28390E-03,2.10990E-05
1.00000E+03,1.00000E+00,3.38700E+01,6.36200E-01,1.18470E-03,1.94680E-05
1.00000E+03,1.25000E+00,4.23400E+01,8.26200E-01,1.09690E-03,1.80320E-05
1.20000E+03,7.50000E-01,2.51800E+01,5.11800E-01,1.23040E-03,2.01490E-05
1.20000E+03,1.00000E+00,3.35700E+01,7.14600E-01,1.12210E-03,1.83770E-05
1.20000E+03,1.25000E+00,4.19700E+01,9.16800E-01,1.04550E-03,1.71200E-05
1.40000E+03,7.50000E-01,2.49900E+01,5.74200E-01,1.19270E-03,1.94890E-05
1.40000E+03,1.00000E+00,3.33200E+01,7.94700E-01,1.09210E-03,1.78450E-05
1.40000E+03,1.25000E+00,4.16500E+01,1.01040E+00,1.01900E-03,1.66490E-05
1.50000E+03,7.50000E-01,2.49000E+01,6.06100E-01,1.17680E-03,1.92140E-05
1.50000E+03,1.00000E+00,3.32100E+01,8.35700E-01,1.07510E-03,1.75520E-05
1.50000E+03,1.25000E+00,4.15100E+01,1.05870E+00,1.00720E-03,1.64440E-05
1.80000E+03,7.50000E-01,2.46700E+01,7.04800E-01,1.14070E-03,1.85850E-05
1.80000E+03,1.00000E+00,3.28900E+01,9.63400E-01,1.05340E-03,1.71630E-05
1.80000E+03,1.25000E+00,4.11200E+01,1.21050E+00,9.87210E-04,1.60840E-05
2.00000E+03,7.50000E-01,2.45300E+01,7.73700E-01,1.11870E-03,1.82110E-05
2.00000E+03,1.00000E+00,3.27000E+01,1.05300E+00,1.03110E-03,1.67850E-05
2.00000E+03,1.25000E+00,4.08800E+01,1.31800E+00,9.63930E-04,1.56910E-05
2.45000E+03,7.50000E-01,2.42200E+01,9.38300E-01,1.07780E-03,1.75220E-05
2.45000E+03,1.00000E+00,3.23000E+01,1.26840E+00,9.87970E-04,1.60610E-05
2.45000E+03,1.25000E+00,4.03800E+01,1.57910E+00,9.20370E-04,1.49620E-05
3.00000E+03,7.50000E-01,2.38700E+01,1.15860E+00,1.03280E-03,1.67740E-05
3.00000E+03,1.00000E+00,3.18300E+01,1.55880E+00,9.42750E-04,1.53110E-05
3.00000E+03,1.25000E+00,3.97900E+01,1.93490E+00,8.77090E-04,1.42440E-05
